Gene	DE.2008Dataset	DE.2012Dataset	logFC.08	AveExpr.08	t.08	P.Value.08	adj.P.Val.08	B.08	logFC.12	AveExpr.12	t.12	P.Value.12	adj.P.Val.12	B.12	DE.fishercomb	DE.invnorm	E_FC_08	E_FC_12	signFC	DE	DE.fishercomb_adjP	DE.invnorm_adj_P
LOC116503867	NA	NA	-1.95949202883563	0.867629439425885	-1.46731433991835	0.162780871175993	0.734230047008293	-4.6469743013503	0.492943564242123	0.810066284524969	0.280857984608232	0.781532444169419	0.995089477239615	-5.79125845694135	NA	NA	NA	NA	NA	NA	NA	NA
LOC116503875	NA	NA	0.608792213248414	7.61276983562723	2.43128130553883	0.0279397336566776	0.682223222198373	-4.0299476801061	-0.0233865698276405	7.89378305085711	-0.134508441086259	0.894264877487404	0.996164617874815	-6.39480322506572	NA	NA	NA	NA	NA	NA	NA	NA
LOC116503880	NA	NA	-2.38022380564356	1.06061294213454	-2.66650211064134	0.0175093041197463	0.682223222198373	-2.98556561327587	-0.940691835644801	0.677646648681259	-2.35407424441698	0.028248030111264	0.775636401920245	-3.47566320228136	NA	NA	NA	NA	NA	NA	NA	NA
LOC116503881	NA	NA	-0.230648201523836	5.37270281457898	-0.440356478853679	0.665908747492485	0.919176957292372	-6.41288046296504	0.304211511188043	4.84644939310099	0.669944769813169	0.51009953993806	0.995089477239615	-6.21174823771544	NA	NA	NA	NA	NA	NA	NA	NA
LOC116503883	NA	NA	-0.393065030861886	1.74299219698176	-0.482225965899473	0.636551275748444	0.908455168218099	-5.5814740913009	-0.184428328582438	1.34002995284742	-0.437439228810007	0.66620113207072	0.995089477239615	-5.84313074444946	NA	NA	NA	NA	NA	NA	NA	NA
LOC116503884	NA	NA	-1.75495673501793	1.95641513465938	-2.18359493607003	0.0451538847238673	0.682223222198373	-3.76318731576285	-0.813008891983583	1.54676476720528	-1.82232589294243	0.0824930435486419	0.921846644712327	-4.46686164759978	NA	NA	NA	NA	NA	NA	NA	NA
LOC116503885	NA	NA	-0.191661577252884	4.79498410344062	-0.440544033736582	0.665775926302005	0.919176957292372	-6.34453722996893	-1.17745525849277	3.54236584729291	-1.77593220720744	0.0900499355121509	0.928815705290634	-4.82173009992111	NA	NA	NA	NA	NA	NA	NA	NA
LOC116503886	NA	NA	-1.98223064398171	-0.723063441553833	-2.18377790036766	0.0451381237057298	0.682223222198373	-3.68296291174698	-1.05736488305923	-0.653262859988724	-1.76781211112905	0.0914322764436606	0.930305442259096	-4.22242331425421	NA	NA	NA	NA	NA	NA	NA	NA
LOC116503895	NA	NA	-0.432188811754561	-0.642030551862677	-0.443194334760178	0.663900292967447	0.91916141480257	-5.28789712104685	-0.029260662264559	2.44071222301475	-0.076916954577786	0.939408356464336	0.997708260154435	-6.14105819860647	NA	NA	NA	NA	NA	NA	NA	NA
LOC116503896	NA	NA	-0.095968147720118	5.17539998181556	-0.326405675254899	0.748591455551255	0.940926464993109	-6.44281673559561	0.118902665896151	5.99841229839244	0.404213927576933	0.690089946625769	0.995089477239615	-6.37467285362497	NA	NA	NA	NA	NA	NA	NA	NA
